customer_id,customer_name,store_id,product_id,ai_model_type,ai_model_id,ai_run_ts,sales_run_ts,ai_mae,sales_mae,ai_mape,sales_mape,ai_r2,sales_r2,ai_rmse,sales_rmse,ai_within_2,sales_within_2
4,Rays,94,16572,stats,stats_low_4,2026-05-12 17:09:34.384037+00,2026-02-22 05:56:04.828381+00,0.4696,0.2433,0.4962,0.1255,0.0650,-0.2868,0.5203,0.4832,1.0000,1.0000
4,Rays,94,16577,stats,stats_low_4,2026-05-12 17:09:34.384037+00,2025-10-11 10:56:43.469428+00,0.4893,1.7824,0.6920,1.2162,-1.6946,-0.2017,0.5364,2.3029,1.0000,1.0000
4,Rays,94,16582,stats,stats_high_4,2026-05-15 03:31:48.775756+00,2026-05-07 11:08:01.996433+00,11.0421,6.9992,1.3523,1.5679,-4.9457,-3.4545,12.8260,9.3462,1.0000,1.0000
4,Rays,94,16584,stats,stats_high_4,2026-05-15 03:31:48.775756+00,2026-05-09 10:24:05.892458+00,7.2454,7.3090,0.4726,1.3750,0.0541,-0.4991,8.0349,9.2714,1.0000,1.0000
4,Rays,94,16586,stats,stats_medium_4,2026-05-13 16:18:51.133733+00,2026-05-09 11:43:41.637954+00,4.4136,1.8094,1.2004,0.6869,-0.3708,-0.1126,5.1845,2.7315,1.0000,1.0000
4,Rays,94,16587,stats,stats_low_4,2026-05-12 17:09:34.384037+00,2026-05-06 11:12:00.257244+00,1.3332,1.5971,0.3192,0.7175,0.4860,-0.0427,1.6633,2.2912,1.0000,1.0000
4,Rays,94,16591,stats,stats_medium_4,2026-05-13 16:18:51.133733+00,2025-05-01 05:24:01.900939+00,0.1679,2.9815,0.9067,0.6798,0.0151,-0.2555,0.3069,4.5406,1.0000,1.0000
4,Rays,94,16593,stats,stats_high_4,2026-05-15 03:31:48.775756+00,2026-05-08 11:18:39.65288+00,8.1269,10.4871,0.3291,0.5364,0.0025,-0.4735,9.8445,13.0642,1.0000,1.0000
4,Rays,94,16596,stats,stats_medium_4,2026-05-13 16:18:51.133733+00,2026-04-28 19:17:23.529775+00,2.2586,3.1386,0.4463,0.6626,-0.1438,-0.7941,2.6860,4.3571,1.0000,1.0000
4,Rays,94,16599,stats,stats_high_4,2026-05-15 03:31:48.775756+00,2026-05-07 11:14:37.051061+00,5.6832,6.9382,0.5901,0.5654,0.1791,0.2400,7.1160,9.6511,1.0000,1.0000
4,Rays,94,16601,stats,stats_medium_4,2026-05-13 16:18:51.133733+00,2026-05-09 08:21:48.095407+00,3.4725,3.2686,1.0991,0.8391,-0.0775,-0.0328,3.9881,4.2548,1.0000,1.0000
4,Rays,94,16602,stats,stats_medium_4,2026-05-13 16:18:51.133733+00,2026-05-02 11:29:02.475237+00,2.5282,3.5627,0.3374,1.0920,-0.0452,-1.1756,2.9960,4.5505,1.0000,1.0000
4,Rays,94,16604,stats,stats_low_4,2026-05-12 17:09:34.384037+00,2026-05-07 11:05:42.301001+00,1.7421,1.8961,0.5400,0.6450,0.1246,-0.7802,2.0262,2.4221,1.0000,1.0000
4,Rays,94,16607,stats,stats_medium_4,2026-05-13 16:18:51.133733+00,2026-05-08 12:16:28.036104+00,2.1696,2.2658,0.4071,0.8086,-0.1187,-0.1429,2.4161,3.1413,1.0000,1.0000
4,Rays,94,16615,stats,stats_medium_4,2026-05-13 16:18:51.133733+00,2026-04-25 19:36:02.233685+00,2.7243,3.4590,0.7900,0.8498,0.0736,-0.2446,3.2013,4.5458,1.0000,1.0000
4,Rays,94,16633,stats,stats_medium_4,2026-05-13 16:18:51.133733+00,2026-04-28 12:23:20.295692+00,4.5186,4.0679,0.8861,1.4300,0.1609,-0.5084,5.6226,5.7390,1.0000,1.0000
4,Rays,94,16637,stats,stats_medium_4,2026-05-13 16:18:51.133733+00,2026-05-08 11:16:58.913651+00,1.6750,4.7335,0.3738,3.3645,-0.0046,-11.9657,1.8999,6.1310,1.0000,1.0000
4,Rays,94,16763,stats,stats_medium_4,2026-05-13 16:18:51.133733+00,2026-05-08 12:16:24.324408+00,1.1436,1.7034,0.3976,0.5722,0.0512,-0.5852,1.4649,2.3505,1.0000,1.0000
4,Rays,94,16788,stats,stats_medium_4,2026-05-13 16:18:51.133733+00,2026-05-07 11:06:16.356009+00,1.8764,2.1571,0.5607,0.7143,0.1258,-0.4776,2.1587,2.7149,1.0000,1.0000
4,Rays,94,16793,stats,stats_medium_4,2026-05-13 16:18:51.133733+00,2026-05-07 11:12:49.630798+00,2.2700,4.3784,0.2331,0.6454,-0.1181,-1.2809,2.9051,5.5632,1.0000,1.0000
4,Rays,94,16804,stats,stats_medium_4,2026-05-13 16:18:51.133733+00,2026-05-01 08:25:29.767088+00,1.0543,1.6813,0.4517,1.2151,0.1096,0.1851,1.1997,2.3335,1.0000,1.0000
4,Rays,94,16808,stats,stats_low_4,2026-05-12 17:09:34.384037+00,2024-11-10 08:08:20.167924+00,0.3314,0.9835,0.5081,3.3099,0.2687,-4.6206,0.4372,1.4752,1.0000,1.0000
4,Rays,94,16814,stats,stats_medium_4,2026-05-13 16:18:51.133733+00,2026-04-27 11:16:06.003173+00,3.3350,5.1420,0.5518,0.7967,-0.4643,-0.7245,3.8489,6.7100,1.0000,1.0000
4,Rays,94,16835,stats,stats_low_4,2026-05-12 17:09:34.384037+00,2026-05-03 11:22:38.453083+00,0.7679,0.9085,0.5015,0.7306,-0.3179,-0.9797,0.8519,1.3118,1.0000,1.0000
4,Rays,94,16839,stats,stats_low_4,2026-05-12 17:09:34.384037+00,2026-05-08 11:10:48.041524+00,0.6636,1.1223,0.7803,0.7560,0.1233,-0.6339,0.9483,1.4505,1.0000,1.0000
4,Rays,94,16854,stats,stats_medium_4,2026-05-13 16:18:51.133733+00,2026-04-30 12:27:16.630114+00,2.3543,4.0865,0.4569,0.7753,0.2794,-1.1639,2.9405,5.1291,1.0000,1.0000
4,Rays,94,16856,stats,stats_low_4,2026-05-12 17:09:34.384037+00,2026-05-07 11:08:38.581213+00,0.9964,1.1689,0.5067,0.6666,0.0163,-0.1797,1.2771,1.5867,1.0000,1.0000
4,Rays,94,16861,stats,stats_low_4,2026-05-12 17:09:34.384037+00,2026-01-26 19:42:04.727891+00,0.1089,2.4918,0.9193,1.5696,0.0596,-0.7395,0.2897,3.3064,1.0000,1.0000
4,Rays,94,16867,stats,stats_low_4,2026-05-12 17:09:34.384037+00,2026-02-11 11:38:33.29538+00,0.2400,1.5512,0.8969,0.7133,0.0557,-0.1840,0.5448,2.4530,1.0000,1.0000
4,Rays,94,16918,stats,stats_medium_4,2026-05-13 16:18:51.133733+00,2026-05-01 12:05:51.668934+00,1.6732,1.9802,0.5680,1.5788,0.2416,-0.6154,1.8917,2.6611,1.0000,1.0000
4,Rays,94,16958,stats,stats_medium_4,2026-05-13 16:18:51.133733+00,2026-05-09 11:43:44.074188+00,1.2546,1.8296,0.2612,0.5694,0.5077,-0.6912,1.5658,2.3020,1.0000,1.0000
4,Rays,94,16968,stats,stats_low_4,2026-05-12 17:09:34.384037+00,,0.1789,,0.8250,,0.0236,,0.2545,,1.0000,
4,Rays,94,16969,stats,stats_low_4,2026-05-12 17:09:34.384037+00,,0.3825,,0.8621,,-0.0012,,0.6883,,1.0000,
4,Rays,94,16973,stats,stats_low_4,2026-05-12 17:09:34.384037+00,,0.6389,,0.4267,,-1.1290,,0.6814,,1.0000,
4,Rays,94,16980,stats,stats_low_4,2026-05-12 17:09:34.384037+00,,0.2725,,0.6775,,0.1044,,0.3312,,1.0000,
4,Rays,94,16981,stats,stats_low_4,2026-05-12 17:09:34.384037+00,,0.1275,,,,,,0.1492,,1.0000,
4,Rays,94,16986,stats,stats_low_4,2026-05-12 17:09:34.384037+00,,0.9000,,0.3087,,-2.3797,,1.0256,,1.0000,
4,Rays,94,16990,stats,stats_low_4,2026-05-12 17:09:34.384037+00,,0.2786,,0.7780,,0.0765,,0.3680,,1.0000,
4,Rays,94,16991,stats,stats_low_4,2026-05-12 17:09:34.384037+00,,0.4446,,0.7308,,-0.0588,,0.6365,,1.0000,
4,Rays,94,16992,stats,stats_low_4,2026-05-12 17:09:34.384037+00,,0.2425,,0.8000,,-0.0506,,0.3170,,1.0000,
4,Rays,94,16994,stats,stats_low_4,2026-05-12 17:09:34.384037+00,,0.2150,,0.7800,,0.1042,,0.2927,,1.0000,
4,Rays,94,17024,stats,stats_low_4,2026-05-12 17:09:34.384037+00,,0.5468,,0.5581,,0.2518,,0.7126,,1.0000,
4,Rays,94,17025,stats,stats_low_4,2026-05-12 17:09:34.384037+00,,0.6961,,0.4658,,0.2249,,0.8313,,1.0000,
4,Rays,94,17026,stats,stats_low_4,2026-05-12 17:09:34.384037+00,,0.5207,,0.4740,,0.2821,,0.6973,,1.0000,
4,Rays,94,17027,stats,stats_low_4,2026-05-12 17:09:34.384037+00,,0.3757,,,,,,0.4183,,1.0000,
4,Rays,94,17039,stats,stats_low_4,2026-05-12 17:09:34.384037+00,,0.3200,,0.8400,,-2.7858,,0.3611,,1.0000,
4,Rays,94,17054,stats,stats_low_4,2026-05-12 17:09:34.384037+00,,1.5457,,0.4252,,0.1497,,1.7489,,1.0000,
4,Rays,94,17069,stats,stats_low_4,2026-05-12 17:09:34.384037+00,2026-05-07 11:05:57.910544+00,0.9714,0.9400,0.7592,0.3853,-0.0587,-0.0218,1.2004,1.3505,1.0000,1.0000
4,Rays,94,17070,stats,stats_low_4,2026-05-12 17:09:34.384037+00,2026-05-07 11:09:39.829442+00,1.5471,1.5732,0.6625,0.9355,-0.6069,-0.9611,1.6671,1.9389,1.0000,1.0000
4,Rays,94,17071,stats,stats_low_4,2026-05-12 17:09:34.384037+00,2026-05-07 11:04:17.72732+00,1.1829,1.6953,0.7167,0.9969,-0.1543,-0.5864,1.4130,2.4179,1.0000,1.0000
4,Rays,94,17077,stats,stats_low_4,2026-05-12 17:09:34.384037+00,2026-05-07 11:07:42.097163+00,0.9200,0.9633,0.3768,0.5677,0.0630,-0.3626,1.0463,1.2487,1.0000,1.0000
4,Rays,94,17084,stats,stats_low_4,2026-05-12 17:09:34.384037+00,,0.4468,,0.7170,,-0.1896,,0.5341,,1.0000,
4,Rays,94,17085,stats,stats_low_4,2026-05-12 17:09:34.384037+00,,0.4782,,0.4499,,0.0267,,0.5267,,1.0000,
4,Rays,94,17086,stats,stats_low_4,2026-05-12 17:09:34.384037+00,,0.5307,,0.2850,,0.1213,,0.6245,,1.0000,
